"HYRIV_ID","HYBAS_L08","HYBAS_L12"
20097361,2080036590,2120036590
20097362,2080036590,2120036590
20097365,2080036490,2120036510
20097366,2080036490,2120036510
20097367,2080036470,2120036470
20097368,2080036470,2120036470
20097450,2080036590,2120036590
20097451,2080036590,2120036590
20097453,2080036490,2120036510
20097454,2080036490,2120036510
20097455,2080036470,2120036470
20097456,2080036470,2120036470
20097529,2080036590,2120036590
20097530,2080036490,2120036510
20097531,2080036490,2120036510
20097532,2080036490,2120036510
20097533,2080036470,2120036470
20097622,2080036490,2120036510
20097623,2080036490,2120036510
20097624,2080036490,2120036520
20097625,2080036470,2120036470
20097626,2080036470,2120036470
20097627,2080036470,2120036470
20097705,2080036590,2120036590
20097708,2080036490,2120036510
20097709,2080036490,2120036520
20097897,2080036590,2120036590
20097900,2080036470,2120036470
20097901,2080036470,2120036470
20097910,2080030570,2120030590
20097985,2080036590,2120036590
20097986,2080036590,2120036590
20097987,2080036590,2120036590
20097990,2080036490,2120036520
20098005,2080030620,2120030620
20098006,2080030620,2120030620
20098076,2080036590,2120036590
20098238,2080036490,2120036510
20098441,2080036490,2120036510
20098442,2080036490,2120036510
20098738,2080036490,2120036520
20098835,2080036490,2120036570
20098843,2080036490,2120036510
20098844,2080036490,2120036510
20098845,2080036490,2120036520
20098846,2080036490,2120036520
20098847,2080036490,2120036520
20098937,2080036490,2120036520
20098938,2080036490,2120036520
20098939,2080036490,2120036520
20098940,2080036490,2120036520
20098941,2080036490,2120036520
20098965,2080030620,2120030620
20099038,2080036490,2120036520
20099156,2080036490,2120036510
20099157,2080036490,2120036520
20099267,2080036490,2120036520
20099281,2080029640,2120029640
20099360,2080036490,2120036510
20099361,2080036490,2120036510
20099362,2080036490,2120036520
20099460,2080036490,2120036520
20099461,2080036490,2120036520
20099462,2080036490,2120036520
20099463,2080036490,2120036520
20099554,2080036490,2120036570
20099637,2080036120,2120036190
20099639,2080036490,2120036520
20099640,2080036490,2120036520
20099719,2080036490,2120036570
20099720,2080036490,2120036560
20099723,2080036490,2120036520
20099724,2080036490,2120036520
20099801,2080036490,2120036570
20099802,2080036490,2120036570
20099803,2080036490,2120036520
20099876,2080036490,2120036520
20099877,2080036490,2120036520
20099971,2080036490,2120036570
20099972,2080036490,2120036570
20099973,2080036490,2120036520
20099974,2080036490,2120036520
20099982,2080029640,2120029640
20100039,2080036490,2120036570
20100040,2080036490,2120036570
20100041,2080036490,2120036510
20100042,2080036490,2120036510
20100043,2080036490,2120036520
20100044,2080036490,2120036520
20100045,2080036410,2120036450
20100103,2080036120,2120036190
20100104,2080036490,2120036570
20100105,2080036490,2120036570
20100106,2080036490,2120036560
20100107,2080036490,2120036560
20100108,2080036490,2120036560
20100109,2080036490,2120036520
20100110,2080036490,2120036520
20100156,2080036490,2120036560
20100157,2080036490,2120036560
20100158,2080036490,2120036560
20100159,2080036490,2120036510
20100160,2080036490,2120036510
20100161,2080036490,2120036520
20100162,2080036490,2120036520
20100163,2080036490,2120036520
20100224,2080036490,2120036560
20100225,2080036490,2120036510
20100226,2080036490,2120036520
20100295,2080036490,2120036520
20100382,2080036120,2120036190
20100383,2080036490,2120036560
20100384,2080036490,2120036520
20100385,2080036490,2120036520
20100464,2080036120,2120036190
20100465,2080036120,2120036190
20100466,2080036490,2120036520
20100467,2080036490,2120036520
20100551,2080036120,2120036190
20100552,2080036120,2120036190
20100553,2080036490,2120036520
20100554,2080036490,2120036520
20100555,2080036410,2120036430
20100626,2080036120,2120036190
20100627,2080036490,2120036570
20100628,2080036490,2120036570
20100652,2080029640,2120029640
20100697,2080036120,2120036190
20100698,2080036490,2120036570
20100699,2080036490,2120036560
20100814,2080029640,2120029640
20100815,2080029640,2120029640
20100870,2080036120,2120036190
20100872,2080036410,2120036430
20100973,2080036490,2120036560
20100974,2080036490,2120036560
20100975,2080036490,2120036560
20101001,2080029640,2120029640
20101063,2080036490,2120036570
20101064,2080036490,2120036570
20101092,2080029640,2120029640
20101238,2080036490,2120036560
20101239,2080036490,2120036520
20101240,2080036410,2120036430
20101263,2080030660,2120030660
20101264,2080030660,2120030660
20101342,2080036490,2120036570
20101343,2080036490,2120036560
20101361,2080030660,2120030660
